Identificador ̼nico de la manzana,Uso
005201029,RESIDENCIAL
009229011,RESIDENCIAL
008301013,RESIDENCIAL
002456059,RESIDENCIAL
005617006,OTROS
005617075,OTROS
005648005,RESIDENCIAL
005648048,RESIDENCIAL
005503083,RESIDENCIAL
006423008,RESIDENCIAL
002578076,RESIDENCIAL
002578078,RESIDENCIAL
008515016,RESIDENCIAL
009205028,RESIDENCIAL
004602008,RESIDENCIAL
001424012,RESIDENCIAL
001424034,RESIDENCIAL
001332099,OTROS
006311053,RESIDENCIAL
002409060,RESIDENCIAL
006406020,RESIDENCIAL
002596001,OTROS
002564048,RESIDENCIAL
005665064,RESIDENCIAL
005665072,RESIDENCIAL
005665081,RESIDENCIAL
002301022,RESIDENCIAL
002429061,RESIDENCIAL
001319021,RESIDENCIAL
,
,
,
002584035,OTROS
009116023,RESIDENCIAL
007310031,RESIDENCIAL
001311042,RESIDENCIAL
,
,
,
,
,
005614044,RESIDENCIAL
004510026,RESIDENCIAL
004514051,RESIDENCIAL
004623013,RESIDENCIAL
004623066,OTROS
002617048,RESIDENCIAL
004513034,RESIDENCIAL
002546067,RESIDENCIAL
009212049,RESIDENCIAL
004527019,RESIDENCIAL
004546051,RESIDENCIAL
004546061,RESIDENCIAL
005614042,RESIDENCIAL
004615001,OTROS
006517017,RESIDENCIAL
003209009,RESIDENCIAL
003207002,RESIDENCIAL
009113038,RESIDENCIAL
002433003,RESIDENCIAL
002414097,RESIDENCIAL
002602001,OTROS
004641010,RESIDENCIAL
006405034,RESIDENCIAL
006405040,RESIDENCIAL
009247001,OFICINAS
002443076,RESIDENCIAL
008310005,COMERCIO
004634064,RESIDENCIAL
005680046,RESIDENCIAL
002546065,RESIDENCIAL
005665025,RESIDENCIAL
008533047,RESIDENCIAL
001319041,RESIDENCIAL
008540053,RESIDENCIAL
001347064,RESIDENCIAL
001334018,RESIDENCIAL
004506053,RESIDENCIAL
005609018,RESIDENCIAL
005609019,RESIDENCIAL
005609022,RESIDENCIAL
008527031,RESIDENCIAL
004637023,RESIDENCIAL
009209065,RESIDENCIAL
009209044,RESIDENCIAL
009209063,OTROS
009209064,RESIDENCIAL
002518009,RESIDENCIAL
002430049,RESIDENCIAL
006312019,RESIDENCIAL
009107011,RESIDENCIAL
004634053,RESIDENCIAL
009112019,RESIDENCIAL
001106016,RESIDENCIAL
007307013,RESIDENCIAL
001345001,OTROS
005638004,RESIDENCIAL
009251058,RESIDENCIAL
009107013,RESIDENCIAL
004544035,RESIDENCIAL
,
,
,
,
,
,
,
,
009103011,RESIDENCIAL
005603057,RESIDENCIAL
001423022,RESIDENCIAL
002430081,RESIDENCIAL
006518014,RESIDENCIAL
001308050,RESIDENCIAL
009231063,RESIDENCIAL
009231051,RESIDENCIAL
009114015,RESIDENCIAL
009241014,RESIDENCIAL
004581043,RESIDENCIAL
009237052,OTROS
009212003,OFICINAS
004588024,RESIDENCIAL
009128001,RESIDENCIAL
008417041,RESIDENCIAL
002205026,RESIDENCIAL
005304026,RESIDENCIAL
006404082,RESIDENCIAL
008538006,RESIDENCIAL
009214009,RESIDENCIAL
002564057,RESIDENCIAL
008407025,RESIDENCIAL
005648069,RESIDENCIAL
005648084,RESIDENCIAL
005648002,RESIDENCIAL
005648020,RESIDENCIAL
005648046,RESIDENCIAL
005648052,OTROS
003103008,OFICINAS
004582009,RESIDENCIAL
002531009,RESIDENCIAL
005617074,RESIDENCIAL
001409012,OTROS
001430035,RESIDENCIAL
008104004,RESIDENCIAL
008104005,RESIDENCIAL
006405023,RESIDENCIAL
006405026,RESIDENCIAL
009262091,RESIDENCIAL
001204001,RESIDENCIAL
001204009,RESIDENCIAL
006405041,RESIDENCIAL
006405042,RESIDENCIAL
005110052,OTROS
002605043,OTROS
002435064,RESIDENCIAL
002435065,RESIDENCIAL
006413029,OTROS
005649022,RESIDENCIAL
004576031,RESIDENCIAL
004204053,RESIDENCIAL
008104032,RESIDENCIAL
006408030,RESIDENCIAL
006408037,RESIDENCIAL
004642013,RESIDENCIAL
005614064,RESIDENCIAL
008201028,RESIDENCIAL
005605002,RESIDENCIAL
009257056,RESIDENCIAL
009257059,RESIDENCIAL
005625002,RESIDENCIAL
005625004,RESIDENCIAL
004110025,RESIDENCIAL
009254019,RESIDENCIAL
002428010,RESIDENCIAL
002511076,RESIDENCIAL
001330097,OTROS
009209006,OTROS
009209007,RESIDENCIAL
009209013,RESIDENCIAL
009209015,RESIDENCIAL
002430090,RESIDENCIAL
008110023,OTROS
004105078,RESIDENCIAL
002570052,RESIDENCIAL
004637088,RESIDENCIAL
004609023,RESIDENCIAL
008520086,RESIDENCIAL
002417022,RESIDENCIAL
004104011,COMERCIO
,
,
,
,
001328013,RESIDENCIAL
002529060,OFICINAS
002521050,RESIDENCIAL
002104055,RESIDENCIAL
004596028,RESIDENCIAL
004204023,RESIDENCIAL
004637017,RESIDENCIAL
008407014,RESIDENCIAL
008101002,RESIDENCIAL
008407017,RESIDENCIAL
009226027,RESIDENCIAL
006529017,RESIDENCIAL
006515050,RESIDENCIAL
001322016,RESIDENCIAL
007301003,OTROS
003209003,RESIDENCIAL
008205006,RESIDENCIAL
008205010,RESIDENCIAL
008205013,RESIDENCIAL
004514066,RESIDENCIAL
002435034,RESIDENCIAL
001204020,RESIDENCIAL
004501044,RESIDENCIAL
001204061,RESIDENCIAL
008407045,RESIDENCIAL
008407041,RESIDENCIAL
002549003,RESIDENCIAL
005675091,RESIDENCIAL
005648013,RESIDENCIAL
004642024,RESIDENCIAL
004642050,RESIDENCIAL
004627028,RESIDENCIAL
005623062,RESIDENCIAL
004501021,RESIDENCIAL
005648060,RESIDENCIAL
005648011,RESIDENCIAL
001306034,RESIDENCIAL
008107022,RESIDENCIAL
007102036,RESIDENCIAL
003104003,RESIDENCIAL
005607082,RESIDENCIAL
004403022,RESIDENCIAL
003103021,RESIDENCIAL
002409085,RESIDENCIAL
002409074,RESIDENCIAL
002409076,RESIDENCIAL
004573079,RESIDENCIAL
005616092,OTROS
005616096,OTROS
005680065,RESIDENCIAL
004519063,RESIDENCIAL
001340070,RESIDENCIAL
002580045,RESIDENCIAL
002430082,RESIDENCIAL
006525010,BODEGAS
002409053,RESIDENCIAL
004503029,RESIDENCIAL
004510017,RESIDENCIAL
006211010,RESIDENCIAL
004403075,RESIDENCIAL
004405074,RESIDENCIAL
004406010,RESIDENCIAL
008110032,RESIDENCIAL
008308020,RESIDENCIAL
009209076,RESIDENCIAL
009209077,RESIDENCIAL
009108094,RESIDENCIAL
006414052,RESIDENCIAL
004104018,RESIDENCIAL
001316014,RESIDENCIAL
004110024,COMERCIO
002404054,RESIDENCIAL
005104012,RESIDENCIAL
008503018,RESIDENCIAL
002570072,RESIDENCIAL
005617098,OTROS
005617095,OTROS
001324035,RESIDENCIAL
005615048,RESIDENCIAL
005675037,RESIDENCIAL
002511027,RESIDENCIAL
002581078,RESIDENCIAL
009225006,RESIDENCIAL
006518005,OTROS
007404002,OFICINAS
002449041,OTROS
004621053,RESIDENCIAL
001411005,RESIDENCIAL
001411031,RESIDENCIAL
002445078,RESIDENCIAL
002613023,RESIDENCIAL
002610021,RESIDENCIAL
006408001,RESIDENCIAL
008506006,RESIDENCIAL
006405016,OTROS
002535046,RESIDENCIAL
002590039,RESIDENCIAL
009102038,RESIDENCIAL
001335048,RESIDENCIAL
005308010,RESIDENCIAL
001334008,RESIDENCIAL
007101012,RESIDENCIAL
009230075,OTROS
009237093,OTROS
005630050,RESIDENCIAL
004305013,RESIDENCIAL
005680062,RESIDENCIAL
006215039,RESIDENCIAL
004205039,RESIDENCIAL
005615037,RESIDENCIAL
005657056,OTROS
005657067,RESIDENCIAL
004406020,RESIDENCIAL
005308039,RESIDENCIAL
004593011,RESIDENCIAL
002611028,RESIDENCIAL
005665053,RESIDENCIAL
005665059,RESIDENCIAL
005665078,RESIDENCIAL
004616038,RESIDENCIAL
002303030,RESIDENCIAL
005648026,RESIDENCIAL
005648040,RESIDENCIAL
009133019,OTROS
008507061,RESIDENCIAL
009133041,RESIDENCIAL
005603069,RESIDENCIAL
009112003,RESIDENCIAL
002539072,RESIDENCIAL
006517016,RESIDENCIAL
008417021,RESIDENCIAL
008417033,RESIDENCIAL
006517024,RESIDENCIAL
004521095,RESIDENCIAL
004553077,RESIDENCIAL
005619064,RESIDENCIAL
004538042,RESIDENCIAL
004616006,RESIDENCIAL
002589055,RESIDENCIAL
002589061,RESIDENCIAL
002404061,RESIDENCIAL
002406008,RESIDENCIAL
002406014,RESIDENCIAL
002406020,RESIDENCIAL
005665039,RESIDENCIAL
002305037,RESIDENCIAL
005665033,RESIDENCIAL
005665018,RESIDENCIAL
,
,
,
,
,
,
001324006,RESIDENCIAL
005628063,RESIDENCIAL
001107061,OTROS
002618053,RESIDENCIAL
006409035,RESIDENCIAL
002554081,RESIDENCIAL
002605002,RESIDENCIAL
003202031,RESIDENCIAL
004514059,RESIDENCIAL
002436002,RESIDENCIAL
005627028,RESIDENCIAL
004546070,RESIDENCIAL
008513061,RESIDENCIAL
004621079,OTROS
004621085,OTROS
008407029,OTROS
008407031,RESIDENCIAL
001405054,RESIDENCIAL
005680026,RESIDENCIAL
001425062,RESIDENCIAL
008407032,RESIDENCIAL
007103001,OFICINAS
007103006,UNIVERSIDADES Y COLEGIOS
002435022,RESIDENCIAL
008408036,RESIDENCIAL
009222039,RESIDENCIAL
004634001,OFICINAS
001414006,RESIDENCIAL
002539065,RESIDENCIAL
001412081,RESIDENCIAL
002433062,RESIDENCIAL
006405031,RESIDENCIAL
007201013,UNIVERSIDADES Y COLEGIOS
004634044,RESIDENCIAL
004634043,RESIDENCIAL
002435067,RESIDENCIAL
002435069,RESIDENCIAL
002581075,RESIDENCIAL
004501069,RESIDENCIAL
006303025,RESIDENCIAL
002104025,RESIDENCIAL
006405061,RESIDENCIAL
006405062,RESIDENCIAL
006405070,RESIDENCIAL
008311020,RESIDENCIAL
003211016,RESIDENCIAL
002205030,RESIDENCIAL
005615032,RESIDENCIAL
005610012,RESIDENCIAL
002433013,RESIDENCIAL
002433012,RESIDENCIAL
002433014,OTROS
001334014,RESIDENCIAL
001334015,RESIDENCIAL
002595092,RESIDENCIAL
005202014,BODEGAS
004204040,RESIDENCIAL
009252012,RESIDENCIAL
001311024,RESIDENCIAL
005307002,RESIDENCIAL
001311086,OTROS
004616005,RESIDENCIAL
005665031,RESIDENCIAL
005665062,RESIDENCIAL
005652027,RESIDENCIAL
002417029,RESIDENCIAL
,
,
003110026,RESIDENCIAL
002408066,RESIDENCIAL
004520042,RESIDENCIAL
004520076,RESIDENCIAL
009204006,RESIDENCIAL
004546023,RESIDENCIAL
005610026,RESIDENCIAL
002450007,RESIDENCIAL
009214023,RESIDENCIAL
004630025,RESIDENCIAL
005614026,RESIDENCIAL
005614033,RESIDENCIAL
008407038,RESIDENCIAL
002635009,OTROS
008516027,RESIDENCIAL
002426065,OTROS
003209039,OTROS
004595042,RESIDENCIAL
003102004,COMERCIO
002205048,RESIDENCIAL
002435059,RESIDENCIAL
004514067,RESIDENCIAL
006401026,RESIDENCIAL
001204069,RESIDENCIAL
001204075,COMERCIO
008205037,RESIDENCIAL
008205049,RESIDENCIAL
006405074,OFICINAS
006405077,RESIDENCIAL
002435073,OTROS
002308032,RESIDENCIAL
005203007,RESIDENCIAL
005203028,RESIDENCIAL
005203037,RESIDENCIAL
002205045,RESIDENCIAL
002102070,RESIDENCIAL
006517067,OTROS
008106021,RESIDENCIAL
004523041,RESIDENCIAL
005665026,RESIDENCIAL
002433016,OTROS
002433017,OTROS
002597016,RESIDENCIAL
004525041,RESIDENCIAL
004525058,RESIDENCIAL
002594059,RESIDENCIAL
008207031,RESIDENCIAL
005630042,RESIDENCIAL
005629057,OTROS
004623018,RESIDENCIAL
007308014,RESIDENCIAL
004573088,RESIDENCIAL
001316006,RESIDENCIAL
002430088,RESIDENCIAL
006419043,RESIDENCIAL
005308036,RESIDENCIAL
002456014,RESIDENCIAL
002552033,OTROS
002552035,RESIDENCIAL
004625005,RESIDENCIAL
009252023,RESIDENCIAL
009252095,RESIDENCIAL
008505054,RESIDENCIAL
004637095,RESIDENCIAL
004567019,RESIDENCIAL
002564003,OTROS
002437029,RESIDENCIAL
002564005,RESIDENCIAL
,
,
,
,
005621040,RESIDENCIAL
005621024,RESIDENCIAL
005621038,RESIDENCIAL
005104002,RESIDENCIAL
005614017,RESIDENCIAL
002619030,RESIDENCIAL
005308051,RESIDENCIAL
002205046,RESIDENCIAL
006206011,INDUSTRIA
007307008,RESIDENCIAL
008214002,RESIDENCIAL
005648051,RESIDENCIAL
005648021,RESIDENCIAL
006208010,RESIDENCIAL
007309017,RESIDENCIAL
007311032,RESIDENCIAL
007312008,RESIDENCIAL
002589053,RESIDENCIAL
009126003,RESIDENCIAL
009132002,RESIDENCIAL
001415049,RESIDENCIAL
003202047,RESIDENCIAL
004561041,RESIDENCIAL
007404006,RESIDENCIAL
006510032,RESIDENCIAL
002610022,OTROS
007209018,RESIDENCIAL
005629022,RESIDENCIAL
002201022,RESIDENCIAL
002525083,RESIDENCIAL
003201037,OTROS
002435036,RESIDENCIAL
002435039,RESIDENCIAL
008205040,RESIDENCIAL
001318055,RESIDENCIAL
002201002,RESIDENCIAL
002201005,RESIDENCIAL
002201006,RESIDENCIAL
002201008,RESIDENCIAL
002201012,RESIDENCIAL
009206034,RESIDENCIAL
005670047,RESIDENCIAL
005665098,OTROS
009266064,RESIDENCIAL
008533065,RESIDENCIAL
009107038,RESIDENCIAL
002444053,RESIDENCIAL
005629058,OTROS
004521060,RESIDENCIAL
008415066,RESIDENCIAL
006410054,RESIDENCIAL
005509027,RESIDENCIAL
002625008,RESIDENCIAL
005308057,RESIDENCIAL
001312025,RESIDENCIAL
002429030,RESIDENCIAL
002536044,RESIDENCIAL
001406001,RESIDENCIAL
002517010,RESIDENCIAL
002517032,RESIDENCIAL
006413037,RESIDENCIAL
006414028,RESIDENCIAL
008507011,RESIDENCIAL
005616061,RESIDENCIAL
009257025,RESIDENCIAL
005634068,RESIDENCIAL
002401011,OTROS
002101026,RESIDENCIAL
005621087,RESIDENCIAL
006502063,RESIDENCIAL
006420006,RESIDENCIAL
009229003,RESIDENCIAL
001325038,RESIDENCIAL
001338009,RESIDENCIAL
,
,
,
005663011,RESIDENCIAL
002565064,RESIDENCIAL
004403001,RESIDENCIAL
005614051,RESIDENCIAL
004538079,RESIDENCIAL
005617011,OTROS
008407001,COMERCIO
008407006,RESIDENCIAL
005617089,OTROS
009133025,OTROS
002572016,OTROS
004201026,INDUSTRIA
004576029,RESIDENCIAL
004546077,UNIVERSIDADES Y COLEGIOS
001413021,RESIDENCIAL
006203002,BODEGAS
006203003,OTROS
006203006,BODEGAS
006203007,BODEGAS
006203010,OTROS
008104037,RESIDENCIAL
008104036,RESIDENCIAL
003107001,COMERCIO
004520054,OTROS
004525029,RESIDENCIAL
005617041,RESIDENCIAL
009117086,RESIDENCIAL
004602023,RESIDENCIAL
002104032,RESIDENCIAL
001304003,RESIDENCIAL
002104041,RESIDENCIAL
004634058,UNIVERSIDADES Y COLEGIOS
005203048,RESIDENCIAL
004555060,RESIDENCIAL
002564009,RESIDENCIAL
004524012,RESIDENCIAL
002433065,RESIDENCIAL
004520006,OTROS
002611011,RESIDENCIAL
009206014,RESIDENCIAL
009206040,RESIDENCIAL
009206064,RESIDENCIAL
004634047,RESIDENCIAL
004634048,RESIDENCIAL
002509018,RESIDENCIAL
009222022,RESIDENCIAL
006529008,RESIDENCIAL
005680033,RESIDENCIAL
009257011,RESIDENCIAL
009224031,OTROS
009224034,OTROS
009224036,OTROS
009224038,OTROS
002524004,RESIDENCIAL
009209070,RESIDENCIAL
009209072,RESIDENCIAL
007207024,RESIDENCIAL
009233069,RESIDENCIAL
002305017,RESIDENCIAL
002564043,RESIDENCIAL
002564045,RESIDENCIAL
001419005,RESIDENCIAL
004104007,BODEGAS
007301015,RESIDENCIAL
002545017,RESIDENCIAL
001308056,OTROS
004530033,RESIDENCIAL
004596012,RESIDENCIAL
005665085,OTROS
006415012,RESIDENCIAL
,
002539010,RESIDENCIAL
004401048,RESIDENCIAL
002413018,RESIDENCIAL
005684039,RESIDENCIAL
002560042,RESIDENCIAL
007202036,RESIDENCIAL
002548019,RESIDENCIAL
002548033,RESIDENCIAL
004630039,RESIDENCIAL
004616042,OTROS
002441081,RESIDENCIAL
008104038,RESIDENCIAL
005627022,RESIDENCIAL
004573070,RESIDENCIAL
004573071,RESIDENCIAL
004310003,RESIDENCIAL
002519042,RESIDENCIAL
002519046,RESIDENCIAL
002519053,RESIDENCIAL
002510025,RESIDENCIAL
004625013,RESIDENCIAL
008205001,RESIDENCIAL
008205002,RESIDENCIAL
004501027,RESIDENCIAL
002205007,RESIDENCIAL
001325007,RESIDENCIAL
002435015,RESIDENCIAL
004501039,RESIDENCIAL
004501036,RESIDENCIAL
009113036,RESIDENCIAL
002445015,RESIDENCIAL
004501067,RESIDENCIAL
004206036,RESIDENCIAL
006405046,RESIDENCIAL
006405047,RESIDENCIAL
006405050,RESIDENCIAL
001109014,RESIDENCIAL
002564069,RESIDENCIAL
002578064,OTROS
001107055,RESIDENCIAL
009255020,RESIDENCIAL
006516018,RESIDENCIAL
002557078,RESIDENCIAL
004533051,RESIDENCIAL
008535007,RESIDENCIAL
009204039,RESIDENCIAL
008535021,RESIDENCIAL
002408053,RESIDENCIAL
002408055,RESIDENCIAL
005665063,RESIDENCIAL
005665020,RESIDENCIAL
002104020,RESIDENCIAL
001410008,RESIDENCIAL
009209030,RESIDENCIAL
009209032,RESIDENCIAL
009209034,OTROS
004595007,RESIDENCIAL
005308009,RESIDENCIAL
002582022,RESIDENCIAL
004587007,RESIDENCIAL
004206052,RESIDENCIAL
004206059,RESIDENCIAL
008208001,RESIDENCIAL
004550075,RESIDENCIAL
002437086,RESIDENCIAL
002553022,RESIDENCIAL
002564071,COMERCIO
002527078,RESIDENCIAL
009233076,RESIDENCIAL
001418085,RESIDENCIAL
005621055,RESIDENCIAL
005665049,RESIDENCIAL
001342001,OTROS
009231032,RESIDENCIAL
009231033,RESIDENCIAL
003206001,RESIDENCIAL
004529040,RESIDENCIAL
006212040,INDUSTRIA
002553002,RESIDENCIAL
002554004,RESIDENCIAL
001315003,RESIDENCIAL
004552042,RESIDENCIAL
005501003,RESIDENCIAL
002442004,OTROS
003207021,RESIDENCIAL
004586038,RESIDENCIAL
004621038,RESIDENCIAL
001344076,OTROS
004621040,RESIDENCIAL
004621042,RESIDENCIAL
002302022,RESIDENCIAL
004607059,RESIDENCIAL
009133040,RESIDENCIAL
001308063,RESIDENCIAL
005680035,RESIDENCIAL
004310005,RESIDENCIAL
005648053,OTROS
002597006,RESIDENCIAL
001204033,RESIDENCIAL
001204042,RESIDENCIAL
001204050,RESIDENCIAL
001204053,RESIDENCIAL
001204054,RESIDENCIAL
001204055,RESIDENCIAL
001204058,RESIDENCIAL
008205021,RESIDENCIAL
006212034,RESIDENCIAL
005205051,RESIDENCIAL
006420094,RESIDENCIAL
007305008,COMERCIO
002415067,RESIDENCIAL
009257032,RESIDENCIAL
002547011,RESIDENCIAL
002519056,RESIDENCIAL
002539074,RESIDENCIAL
004506074,RESIDENCIAL
004539013,RESIDENCIAL
004539032,RESIDENCIAL
004642021,RESIDENCIAL
005634002,RESIDENCIAL
001334010,RESIDENCIAL
004602020,RESIDENCIAL
002402072,RESIDENCIAL
006518008,RESIDENCIAL
009209036,OTROS
009267037,OTROS
004519032,RESIDENCIAL
002311018,RESIDENCIAL
002402026,RESIDENCIAL
008312017,OTROS
004530031,RESIDENCIAL
001315076,RESIDENCIAL
001415014,RESIDENCIAL
004573062,RESIDENCIAL
009205032,RESIDENCIAL
002564067,OTROS
004595021,RESIDENCIAL
004104041,COMERCIO
002406043,RESIDENCIAL
002406048,RESIDENCIAL
002433037,RESIDENCIAL
002433033,OTROS
009257061,RESIDENCIAL
002517011,RESIDENCIAL
007310015,BODEGAS
004208047,OTROS
001402034,RESIDENCIAL
008520046,RESIDENCIAL
004633049,RESIDENCIAL
004582002,RESIDENCIAL
001401036,RESIDENCIAL
004582001,RESIDENCIAL
004413002,RESIDENCIAL
002407006,RESIDENCIAL
008213031,RESIDENCIAL
005617087,OTROS
005627069,RESIDENCIAL
002625056,RESIDENCIAL
005614065,RESIDENCIAL
003215018,RESIDENCIAL
004613075,RESIDENCIAL
009224010,RESIDENCIAL
009257071,RESIDENCIAL
009257085,RESIDENCIAL
006510025,RESIDENCIAL
002534001,RESIDENCIAL
002508044,RESIDENCIAL
007311007,RESIDENCIAL
009216014,RESIDENCIAL
009216042,RESIDENCIAL
007104033,RESIDENCIAL
004501054,RESIDENCIAL
002546039,RESIDENCIAL
006408016,RESIDENCIAL
001401040,RESIDENCIAL
005648039,RESIDENCIAL
005648036,RESIDENCIAL
005648080,RESIDENCIAL
007311005,RESIDENCIAL
005617045,RESIDENCIAL
005617046,RESIDENCIAL
002409062,RESIDENCIAL
002437005,RESIDENCIAL
005630064,RESIDENCIAL
001303033,RESIDENCIAL
006414010,RESIDENCIAL
002308037,RESIDENCIAL
002308038,RESIDENCIAL
007207016,RESIDENCIAL
002411045,RESIDENCIAL
008110039,RESIDENCIAL
009209085,RESIDENCIAL
004307003,RESIDENCIAL
002408026,RESIDENCIAL
005663012,RESIDENCIAL
002530001,RESIDENCIAL
004580017,RESIDENCIAL
005201002,RESIDENCIAL
008529005,RESIDENCIAL
004550086,RESIDENCIAL
002527001,RESIDENCIAL
001403055,RESIDENCIAL
008413019,RESIDENCIAL
005652018,RESIDENCIAL
008416007,RESIDENCIAL
009128016,BODEGAS
005665035,RESIDENCIAL
002442011,OTROS
005665019,RESIDENCIAL
005665069,RESIDENCIAL
005609007,RESIDENCIAL
002526064,COMERCIO
009128022,RESIDENCIAL
004519094,RESIDENCIAL
006408044,RESIDENCIAL
005648024,RESIDENCIAL
004509015,RESIDENCIAL
008515009,RESIDENCIAL
008301021,RESIDENCIAL
008519034,RESIDENCIAL
009121013,RESIDENCIAL
009250034,RESIDENCIAL
001308039,RESIDENCIAL
006405085,RESIDENCIAL
006405089,RESIDENCIAL
006405090,OTROS
006504053,RESIDENCIAL
004641019,RESIDENCIAL
008101001,RESIDENCIAL
006405092,OTROS
008112008,OFICINAS
008221004,RESIDENCIAL
006307007,BODEGAS
004634029,RESIDENCIAL
005201027,RESIDENCIAL
002431082,RESIDENCIAL
002308045,RESIDENCIAL
005102063,RESIDENCIAL
002521044,RESIDENCIAL
002436013,RESIDENCIAL
005616046,RESIDENCIAL
005616024,RESIDENCIAL
005616041,RESIDENCIAL
005616042,RESIDENCIAL
005616055,RESIDENCIAL
009266095,RESIDENCIAL
009266085,RESIDENCIAL
002414093,RESIDENCIAL
002433022,RESIDENCIAL
002433028,RESIDENCIAL
005111035,RESIDENCIAL
005607064,RESIDENCIAL
002433041,RESIDENCIAL
002433042,RESIDENCIAL
